OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,City,Area,RestaurantID,RestaurantName,Cuisine,RestaurantRating,ItemName,CategoryName,Quantity,UnitPrice,TotalAmount,OrderStatus,PaymentMode,PaymentStatus,PartnerName,VehicleType,DistanceKM,DeliveryTimeMin,FoodRating,DeliveryRating
ORD10001,2024-01-31 00:00:00,CUST2001,Ravi Patel,Female,20.0,Pune,Baner,R009,The Bakers Oven,Bakery,4.0,Chocolate Cake,Desserts,4.0,350.0,1400.0,Delivered,Wallet,Paid,Suresh Kumar,Scooter,9.0,49.0,4.0,4.0
ORD10002,2024-04-14 00:00:00,CUST2002,Sneha Patel,Male,47.0,Pune,Hinjewadi,R003,Dragon Wok,Chinese,4.0,Chicken Manchurian,Main Course,3.0,210.0,630.0,Cancelled,Debit Card,Refunded,Suresh Kumar,Bicycle,8.4,43.0,,
ORD10003,2024-04-12 00:00:00,CUST2003,Rahul Verma,Male,32.0,Kolkata,Salt Lake,R013,Sweet Tooth,Desserts,4.6,Ice Cream Sundae,Desserts,4.0,150.0,600.0,Delivered,UPI,Paid,Manoj Nair,Scooter,3.8,30.0,5.0,4.0
ORD10004,2024-08-31 16:13:00,CUST2003,Rahul Verma,Male,32.0,Kolkata,Howrah,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,4.0,140.0,560.0,Delivered,Cash on Delivery,Paid,Reyansh Sharma,Bicycle,8.0,34.0,3.0,4.0
ORD10005,2024-10-18 00:00:00,CUST2003,Rahul Verma,Male,32.0,Kolkata,Ballygunge,R010,Kebab Junction,Mughlai,4.3,Chicken Kebab,Starters,4.0,240.0,960.0,Delivered,Wallet,Paid,Meera Bose,Scooter,14.6,81.0,3.0,5.0
ORD10006,2024-11-22 00:00:00,CUST2003,Rahul Verma,Male,32.0,Kolkata,,R002,Pizza Palace,Italian,4.1,Pepperoni Pizza,Pizza,4.0,320.0,1280.0,Cancelled,Cash on Delivery,Refunded,Sai Iyer,Bicycle,8.0,40.0,,
ORD10007,2024-12-06 00:00:00,CUST2004,Rohan Menon,Male,28.0,Chennai,OMR,R015,Chaat Corner,Street Food,4.0,Pani Puri,Street Food,5.0,60.0,300.0,Delivered,Cash on Delivery,Paid,Kavya Mukherjee,Scooter,13.3,76.0,3.0,4.0
ORD10008,2024-03-06 00:00:00,CUST2005,Sai Bose,Male,22.0,Kolkata,Park Street,R003,Dragon Wok,Chinese,,Spring Rolls,Starters,4.0,140.0,560.0,Delivered,Credit Card,Paid,Meera Bose,E-Bike,14.5,90.0,,4.0
ORD10009,2024-11-29 20:22:00,CUST2006,Sanjay Kapoor,Female,46.0,Bangalore,Indiranagar,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,3.0,260.0,780.0,Delivered,Wallet,Paid,Manoj Nair,Bicycle,0.9,,3.0,3.0
ORD10010,2024-01-12 11:32:00,CUST2007,Kavya Bose,Male,31.0,Chennai,Anna Nagar,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,5.0,140.0,700.0,Delivered,Credit Card,Paid,Lakshmi Verma,Bicycle,2.1,18.0,5.0,5.0
ORD10011,2024-08-02 00:34:00,CUST2008,Vihaan Pillai,Male,39.0,Kolkata,Salt Lake,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,2.0,260.0,520.0,Delivered,Cash on Delivery,Paid,Lakshmi Verma,Bicycle,4.8,,5.0,
ORD10012,2024-12-25 19:46:00,CUST2001,Ravi Patel,Female,20.0,Pune,Kothrud,R015,Chaat Corner,Street Food,4.0,Pani Puri,Street Food,2.0,60.0,120.0,Delivered,Cash on Delivery,Paid,Ishaan Joshi,E-Bike,,57.0,,4.0
ORD10013,2024-07-25 00:00:00,CUST2009,Riya Chatterjee,Female,53.0,Pune,Baner,R003,Dragon Wok,Chinese,4.0,Veg Noodles,Noodles,3.0,160.0,480.0,Cancelled,UPI,Refunded,Ravi Rao,Bike,,20.0,,
ORD10014,2024-01-02 20:08:00,CUST2009,,Female,,Pune,Kothrud,R014,Healthy Bites,Salads,4.2,Caesar Salad,Salads,1.0,180.0,180.0,Delivered,UPI,Paid,Aditya Menon,Bike,14.2,76.0,3.0,
ORD10015,2024-08-02 00:00:00,CUST2010,Anika Gupta,Female,60.0,Pune,Hinjewadi,R004,Punjabi Tadka,North Indian,4.4,Paneer Tikka,Starters,4.0,220.0,880.0,Cancelled,Debit Card,Failed,Ravi Rao,Bike,0.9,14.0,,
ORD10016,2024-09-16 08:56:00,CUST2004,Rohan Menon,Male,28.0,,,R005,Burger Point,Fast Food,3.9,Cheese Burger,Burger,3.0,130.0,390.0,Delivered,Credit Card,Paid,Pooja Gupta,Bicycle,7.0,40.0,5.0,3.0
ORD10017,2024-05-02 20:17:00,CUST2011,Reyansh Reddy,Female,,Bangalore,Koramangala,R012,Noodle Story,Chinese,3.7,Spring Rolls,Starters,2.0,140.0,280.0,Delivered,Debit Card,Paid,Ravi Rao,Bicycle,10.6,65.0,4.0,3.0
ORD10018,2024-02-27 00:00:00,CUST2012,Aditya Sharma,Female,,Kolkata,Park Street,R011,Curry House,North Indian,4.1,Paneer Tikka,Starters,2.0,220.0,440.0,Returned,Cash on Delivery,Refunded,Vikram Das,Bike,2.4,24.0,,
ORD10019,2024-12-25 12:44:00,CUST2013,Manoj Malhotra,Female,27.0,Delhi,Dwarka,R001,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,3.0,280.0,840.0,Delivered,,Paid,Reyansh Sharma,Bike,5.8,40.0,5.0,4.0
ORD10020,2024-04-28 00:00:00,CUST2014,Diya Chatterjee,Male,19.0,Hyderabad,Banjara Hills,R013,Sweet Tooth,Desserts,4.6,Ice Cream Sundae,Desserts,,150.0,300.0,Delivered,Credit Card,Paid,Aditya Menon,Bike,13.0,64.0,3.0,4.0
